<Date>, <Time>, <Open>, <High>, <Low>, <Close>, <Volume>
5/3/2024,08:30:00,2971.49000000,2978.03000000,2970.16000000,2977.97000000,14141065
5/3/2024,08:45:00,2977.97000000,2982.72000000,2975.00000000,2979.03000000,13891378
5/3/2024,09:00:00,2979.03000000,2981.00000000,2968.92000000,2970.85000000,12317062
5/3/2024,09:15:00,2970.85000000,2977.00000000,2968.85000000,2974.37000000,11390861
5/3/2024,09:30:00,2974.37000000,2981.48000000,2973.84000000,2975.20000000,9158697
5/3/2024,09:45:00,2975.20000000,2982.69000000,2974.58000000,2980.85000000,7746513
5/3/2024,10:00:00,2980.86000000,2989.63000000,2979.88000000,2981.79000000,20193251
5/3/2024,10:15:00,2981.79000000,2984.99000000,2976.75000000,2980.69000000,13659063
5/3/2024,10:30:00,2980.72000000,2983.85000000,2978.32000000,2979.21000000,5969231
5/3/2024,10:45:00,2979.20000000,2980.86000000,2956.86000000,2965.99000000,39953137
5/3/2024,11:00:00,2965.99000000,2970.95000000,2957.69000000,2969.63000000,25844441
5/3/2024,11:15:00,2969.63000000,2970.85000000,2961.79000000,2965.10000000,28143863
5/3/2024,11:30:00,2965.10000000,2976.99000000,2964.42000000,2975.97000000,16414678
5/3/2024,11:45:00,2975.97000000,2979.00000000,2969.34000000,2972.64000000,14438500
5/3/2024,12:00:00,2972.64000000,2984.19000000,2969.59000000,2978.40000000,17696886
5/3/2024,12:15:00,2978.39000000,2979.95000000,2972.53000000,2976.13000000,14743705
5/3/2024,12:30:00,2976.12000000,2977.99000000,2967.77000000,2976.05000000,13020439
5/3/2024,12:45:00,2976.05000000,3031.94000000,2973.44000000,3027.08000000,170060814
5/3/2024,13:00:00,3027.08000000,3046.92000000,3018.63000000,3033.52000000,125658849
5/3/2024,13:15:00,3033.52000000,3049.95000000,3028.82000000,3046.64000000,86536504
5/3/2024,13:30:00,3046.63000000,3057.80000000,3029.82000000,3043.12000000,69327396
5/3/2024,13:45:00,3043.10000000,3062.90000000,3039.01000000,3050.81000000,85367543
5/3/2024,14:00:00,3050.80000000,3064.75000000,3049.50000000,3059.45000000,52605584
5/3/2024,14:15:00,3059.45000000,3075.00000000,3046.19000000,3048.66000000,85318450
5/3/2024,14:30:00,3048.61000000,3056.82000000,3042.32000000,3052.34000000,32996036
5/3/2024,14:45:00,3052.34000000,3060.99000000,3045.60000000,3055.99000000,22824982
5/3/2024,15:00:00,3055.99000000,3058.62000000,3051.53000000,3053.27000000,12907173
5/3/2024,15:15:00,3053.28000000,3058.82000000,3047.15000000,3048.19000000,21402914
5/3/2024,15:30:00,3048.19000000,3057.58000000,3047.18000000,3055.71000000,18799079
5/3/2024,15:45:00,3055.71000000,3071.97000000,3053.05000000,3070.97000000,44338004
5/3/2024,16:00:00,3070.98000000,3085.57000000,3070.92000000,3074.12000000,49468536
5/3/2024,16:15:00,3074.12000000,3081.99000000,3072.82000000,3081.59000000,25260225
5/3/2024,16:30:00,3081.59000000,3086.97000000,3078.00000000,3080.99000000,24667206
5/3/2024,16:45:00,3080.99000000,3084.80000000,3073.11000000,3076.70000000,26984511
5/3/2024,17:00:00,3076.69000000,3078.42000000,3061.41000000,3065.98000000,31928108
5/3/2024,17:15:00,3065.98000000,3074.39000000,3060.89000000,3071.46000000,19097773
5/3/2024,17:30:00,3071.46000000,3075.36000000,3069.00000000,3073.97000000,13095949
5/3/2024,17:45:00,3073.97000000,3076.99000000,3069.66000000,3073.00000000,11489935
5/3/2024,18:00:00,3073.00000000,3081.99000000,3072.59000000,3077.67000000,12111857
5/3/2024,18:15:00,3077.68000000,3081.50000000,3076.77000000,3078.78000000,10885760
5/3/2024,18:30:00,3078.78000000,3080.28000000,3070.01000000,3071.74000000,12580056
5/3/2024,18:45:00,3071.73000000,3074.69000000,3067.62000000,3070.73000000,8279561
5/3/2024,19:00:00,3070.73000000,3072.10000000,3065.15000000,3067.49000000,7786552
5/3/2024,19:15:00,3067.49000000,3067.50000000,3061.00000000,3064.08000000,10601293
5/3/2024,19:30:00,3064.07000000,3068.03000000,3061.26000000,3067.10000000,8753891
5/3/2024,19:45:00,3067.09000000,3072.68000000,3064.76000000,3071.27000000,10432096
5/3/2024,20:00:00,3071.27000000,3073.07000000,3068.24000000,3070.69000000,11466597
5/3/2024,20:15:00,3070.69000000,3077.21000000,3066.91000000,3075.56000000,17199755
5/3/2024,20:30:00,3075.57000000,3108.59000000,3075.56000000,3106.41000000,98015913
